DB17,REAL66;Temperatura_html
DB17,REAL54;PresionAgua_html
DB17,REAL50;PresionAire_html
DB17,X48.0;Luz_Cooler_html
DB17,REAL62;Nivel_html
DB17,REAL72;Caudal_html
DB17,X48.2;Luz_Resistencia_html
M114.0;AlarmaParo_html
M114.1;AlarmaNivelAA_html
M114.2;AlarmaTempAlta_html
M114.3;AlarmaPresionAireBaja_html
M114.4;AlarmaNivelAlto_html
DB17,REAL00;SP_Nivel_html
DB17,REAL8;Ki_Nivel_html
DB17,REAL12;Kp_Nivel_html
DB17,REAL16;Kd_Nivel_html
DB17,REAL30;Ki_Temp_html
DB17,REAL34;Kp_Temp_html
DB17,REAL38;Kd_Temp_html
DB17,X46.1;Modo_PID_Nivel_html
DB17,X24.4;Modo_PID_Temp_html
DB17,X47.5;Luz_MB001_html
DB17,X47.6;Luz_MB002_html
DB17,X24.2;Alimentacion_KM1_html
DB17,X46.2;PIDNivelOFF_html
DB17,X24.5;PIDTempOFF_html
DB17,REAL76;SP_Temp_html
DB4,REAL38;Temperatura
DB4,REAL26;PresionAgua
DB4,REAL22;PresionAire
DB4,X20.0;Cooler
DB4,REAL34;Nivel
DB4,REAL44;Caudal
DB4,X20.2;Resistencia
M114.0;AlarmaParo
M114.1;AlarmaNivelAA
M114.2;AlarmaTempAlta
M114.3;AlarmaPresionAireBaja
M114.4;AlarmaNivelAlto
DB19,REAL12;SP_Nivel
DB19,REAL0;Ki_Nivel
DB19,REAL4;Kp_Nivel
DB19,REAL8;Kd_Nivel
DB19,REAL20;Ki_Temp
DB19,REAL24;Kp_Temp
DB19,REAL28;Kd_Temp
DB4,X42.4;NivelAuto
DB4,X42.3;NivelManual
DB4,X42.1;Autotemp
DB4,X19.5;MB001
DB4,X19.6;MB002
DB4,X8.2;EncendidoGeneral
DB4,X42.5;PIDNivelOFF
DB4,X42.2;PIDTempOFF
DB19,REAL16;SP_Temp
DB17,X46.4;Boton_paro_html
DB17,X82.0;Boton_html
DB17,X24.1;Eleccion_proceso_html
DB7,REAL18;Salida_PID_temperatura
DB7,REAL0;Salida_PID_Nivel
DB17,REAL26;Send_PID_temp
DB17,REAL4;Send_PID_Niv
DB19,REAL12;SETPOINT_NIVEL
DB17,REAL76;SETPOINT_TEMPERATURA
DB4,X18.5;ConfirmacionKM1
DB18,X82.0;Confirmacion_HTML_led
DB17,X71.0;SendResetAlarm
DB17,X70.3;Luz_PID_Man_Niv_html
DB17,X70.0;Luz_PID_Man_temp_html
